vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_parCodigo,ordenPartidos,votVotosPartido,votPorcenVotos,votCandidatos
"01","001","999","0008",16,105,9.00000036e-02,0
"01","001","999","0022",9,636,5.40000021e-01,0
"01","001","999","0079",11,365,3.10000002e-01,0
"01","001","999","0178",15,206,1.80000007e-01,0
"01","001","999","0185",10,368,3.10000002e-01,0
"01","001","999","0187",6,3537,3.00999999e+00,0
"01","001","999","0262",12,346,2.89999992e-01,0
"01","001","999","0327",14,288,2.39999995e-01,0
"01","001","999","0503",4,5028,4.26999998e+00,0
"01","001","999","0515",5,3946,3.34999990e+00,0
"01","001","999","0525",7,1507,1.27999997e+00,0
"01","001","999","0531",3,13736,1.16700001e+01,0
"01","001","999","0567",8,1004,8.50000024e-01,0
"01","001","999","0576",2,25295,2.14899998e+01,0
"01","001","999","0580",1,59073,5.01899986e+01,0
"01","001","999","0806",13,332,2.80000001e-01,0
"01","002","999","0008",16,44,3.99999991e-02,0
"01","002","999","0022",10,319,3.10000002e-01,0
"01","002","999","0079",14,180,1.80000007e-01,0
"01","002","999","0178",12,221,2.19999999e-01,0
"01","002","999","0185",13,211,2.09999993e-01,0
"01","002","999","0187",6,2202,2.16000009e+00,0
"01","002","999","0262",9,325,3.19999993e-01,0
"01","002","999","0327",15,146,1.40000001e-01,0
"01","002","999","0503",4,2932,2.88000011e+00,0
"01","002","999","0515",5,2597,2.54999995e+00,0
"01","002","999","0525",7,893,8.79999995e-01,0
"01","002","999","0531",3,10808,1.06099997e+01,0
"01","002","999","0567",8,469,4.60000008e-01,0
"01","002","999","0576",2,11946,1.17299995e+01,0
"01","002","999","0580",1,67051,6.58099976e+01,0
"01","002","999","0806",11,226,2.19999999e-01,0
"01","003","999","0008",16,114,1.00000001e-01,0
"01","003","999","0022",9,633,5.60000002e-01,0
"01","003","999","0079",10,412,3.70000005e-01,0
"01","003","999","0178",15,215,1.89999998e-01,0
"01","003","999","0185",11,379,3.40000004e-01,0
"01","003","999","0187",6,3964,3.52999997e+00,0
"01","003","999","0262",12,357,3.19999993e-01,0
"01","003","999","0327",13,336,3.00000012e-01,0
"01","003","999","0503",4,5915,5.26999998e+00,0
"01","003","999","0515",5,4720,4.19999981e+00,0
"01","003","999","0525",7,1175,1.04999995e+00,0
"01","003","999","0531",3,14509,1.29200001e+01,0
"01","003","999","0567",8,1151,1.02999997e+00,0
"01","003","999","0576",2,25850,2.30200005e+01,0
"01","003","999","0580",1,50396,4.48800011e+01,0
"01","003","999","0806",14,306,2.70000011e-01,0
"01","004","999","0008",16,146,1.09999999e-01,0
"01","004","999","0022",9,758,5.89999974e-01,0
"01","004","999","0079",10,637,4.90000010e-01,0
"01","004","999","0178",15,278,2.19999999e-01,0
"01","004","999","0185",14,376,2.89999992e-01,0
"01","004","999","0187",6,3860,3.00000000e+00,0
"01","004","999","0262",12,577,4.49999988e-01,0
"01","004","999","0327",13,487,3.79999995e-01,0
"01","004","999","0503",4,6142,4.76999998e+00,0
"01","004","999","0515",5,5191,4.03000021e+00,0
"01","004","999","0525",7,2052,1.59000003e+00,0
"01","004","999","0531",3,17418,1.35299997e+01,0
"01","004","999","0567",8,1416,1.10000002e+00,0
"01","004","999","0576",2,33122,2.57299995e+01,0
"01","004","999","0580",1,53319,4.14099998e+01,0
"01","004","999","0806",11,607,4.69999999e-01,0
"01","005","999","0008",16,99,7.99999982e-02,0
"01","005","999","0022",9,620,5.19999981e-01,0
"01","005","999","0079",11,374,3.10000002e-01,0
"01","005","999","0178",15,203,1.70000002e-01,0
"01","005","999","0185",10,403,3.40000004e-01,0
"01","005","999","0187",6,4867,4.07000017e+00,0
"01","005","999","0262",12,329,2.70000011e-01,0
"01","005","999","0327",14,261,2.19999999e-01,0
"01","005","999","0503",4,6653,5.55999994e+00,0
"01","005","999","0515",5,4919,4.11000013e+00,0
"01","005","999","0525",7,1419,1.19000006e+00,0
"01","005","999","0531",3,16312,1.36300001e+01,0
"01","005","999","0567",8,1129,9.39999998e-01,0
"01","005","999","0576",2,27390,2.28899994e+01,0
"01","005","999","0580",1,52545,4.39099998e+01,0
"01","005","999","0806",13,274,2.30000004e-01,0
"01","006","999","0008",16,69,5.99999987e-02,0
"01","006","999","0022",9,566,4.60000008e-01,0
"01","006","999","0079",11,317,2.59999990e-01,0
"01","006","999","0178",15,150,1.19999997e-01,0
"01","006","999","0185",10,371,3.00000012e-01,0
"01","006","999","0187",5,5164,4.17000008e+00,0
"01","006","999","0262",14,231,1.89999998e-01,0
"01","006","999","0327",13,261,2.09999993e-01,0
"01","006","999","0503",4,5859,4.73000002e+00,0
"01","006","999","0515",6,4721,3.80999994e+00,0
"01","006","999","0525",7,1652,1.33000004e+00,0
"01","006","999","0531",3,16814,1.35699997e+01,0
"01","006","999","0567",8,999,8.10000002e-01,0
"01","006","999","0576",2,23836,1.92399998e+01,0
"01","006","999","0580",1,60843,4.90999985e+01,0
"01","006","999","0806",12,269,2.19999999e-01,0
"01","007","999","0008",16,123,1.00000001e-01,0
"01","007","999","0022",9,653,5.00000000e-01,0
"01","007","999","0079",10,519,4.00000006e-01,0
"01","007","999","0178",15,234,1.80000007e-01,0
"01","007","999","0185",11,359,2.80000001e-01,0
"01","007","999","0187",6,4508,3.48000002e+00,0
"01","007","999","0262",13,321,2.50000000e-01,0
"01","007","999","0327",12,349,2.70000011e-01,0
"01","007","999","0503",4,5980,4.61999989e+00,0
"01","007","999","0515",5,5748,4.44000006e+00,0
"01","007","999","0525",7,1879,1.45000005e+00,0
"01","007","999","0531",3,18105,1.39899998e+01,0
"01","007","999","0567",8,1137,8.79999995e-01,0
"01","007","999","0576",2,28499,2.20300007e+01,0
"01","007","999","0580",1,58441,4.51699982e+01,0
"01","007","999","0806",14,290,2.19999999e-01,0
"01","008","999","0008",16,146,1.50000006e-01,0
"01","008","999","0022",10,556,5.60000002e-01,0
"01","008","999","0079",9,625,6.29999995e-01,0
"01","008","999","0178",15,219,2.19999999e-01,0
"01","008","999","0185",14,287,2.89999992e-01,0
"01","008","999","0187",6,2367,2.38000011e+00,0
"01","008","999","0262",11,421,4.19999987e-01,0
"01","008","999","0327",13,320,3.19999993e-01,0
"01","008","999","0503",5,4132,4.15000010e+00,0
"01","008","999","0515",4,4364,4.38000011e+00,0
"01","008","999","0525",7,2071,2.07999992e+00,0
"01","008","999","0531",3,14296,1.43500004e+01,0
"01","008","999","0567",8,951,9.49999988e-01,0
"01","008","999","0576",2,28202,2.82999992e+01,0
"01","008","999","0580",1,38345,3.84799995e+01,0
"01","008","999","0806",12,326,3.30000013e-01,0
"01","009","999","0008",16,119,1.09999999e-01,0
"01","009","999","0022",9,633,5.60000002e-01,0
"01","009","999","0079",10,432,3.79999995e-01,0
"01","009","999","0178",15,165,1.50000006e-01,0
"01","009","999","0185",11,319,2.80000001e-01,0
"01","009","999","0187",6,3596,3.19000006e+00,0
"01","009","999","0262",12,317,2.80000001e-01,0
"01","009","999","0327",13,277,2.50000000e-01,0
"01","009","999","0503",5,4402,3.91000009e+00,0
"01","009","999","0515",4,5651,5.01999998e+00,0
"01","009","999","0525",7,1169,1.03999996e+00,0
"01","009","999","0531",3,16312,1.44899998e+01,0
"01","009","999","0567",8,1133,1.00999999e+00,0
"01","009","999","0576",2,26733,2.37399998e+01,0
"01","009","999","0580",1,49160,4.36599998e+01,0
"01","009","999","0806",14,232,2.09999993e-01,0
"01","010","999","0008",16,104,9.00000036e-02,0
"01","010","999","0022",9,596,5.19999981e-01,0
"01","010","999","0079",10,379,3.30000013e-01,0
"01","010","999","0178",15,187,1.59999996e-01,0
"01","010","999","0185",11,359,3.19999993e-01,0
"01","010","999","0187",6,4542,3.99000001e+00,0
"01","010","999","0262",13,246,2.19999999e-01,0
"01","010","999","0327",12,279,2.50000000e-01,0
"01","010","999","0503",5,5004,4.40000010e+00,0
"01","010","999","0515",4,5332,4.67999983e+00,0
"01","010","999","0525",7,1174,1.02999997e+00,0
"01","010","999","0531",3,16547,1.45400000e+01,0
"01","010","999","0567",8,1126,9.90000010e-01,0
"01","010","999","0576",2,24078,2.11499996e+01,0
"01","010","999","0580",1,51767,4.54799995e+01,0
"01","010","999","0806",14,225,2.00000003e-01,0
"01","011","999","0008",16,88,7.00000003e-02,0
"01","011","999","0022",9,654,4.90000010e-01,0
"01","011","999","0079",11,364,2.70000011e-01,0
"01","011","999","0178",15,160,1.19999997e-01,0
"01","011","999","0185",10,368,2.80000001e-01,0
"01","011","999","0187",6,5329,3.99000001e+00,0
"01","011","999","0262",12,307,2.30000004e-01,0
"01","011","999","0327",13,292,2.19999999e-01,0
"01","011","999","0503",5,5564,4.17000008e+00,0
"01","011","999","0515",4,5571,4.17999983e+00,0
"01","011","999","0525",7,1381,1.03999996e+00,0
"01","011","999","0531",3,19283,1.44499998e+01,0
"01","011","999","0567",8,1062,8.00000012e-01,0
"01","011","999","0576",2,26002,1.94899998e+01,0
"01","011","999","0580",1,64736,4.85299988e+01,0
"01","011","999","0806",14,233,1.70000002e-01,0
"01","012","999","0008",16,121,7.99999982e-02,0
"01","012","999","0022",9,703,4.90000010e-01,0
"01","012","999","0079",11,400,2.80000001e-01,0
"01","012","999","0178",15,196,1.40000001e-01,0
