pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,OT_Codigo,OT_Votos,OT_PVotos
"01","001","999",519,517,9.96100006e+01,118628,9.88499985e+01,117270,9.88600006e+01,1358,1.13999999e+00,1320,1.10000002e+00,61,5.00000007e-02,177513,120009,6.76100006e+01,,0,,6.78700027e+01,"9997",9150,7.80000019e+00
"01","002","999",417,417,1.00000000e+02,102594,9.92300034e+01,101680,9.91100006e+01,914,8.89999986e-01,782,7.59999990e-01,19,1.99999996e-02,144225,103395,7.16900024e+01,,0,,7.16900024e+01,"9997",5342,5.25000000e+00
"01","003","999",470,467,9.93600006e+01,113590,9.86399994e+01,112329,9.88899994e+01,1261,1.11000001e+00,1512,1.30999994e+00,53,5.00000007e-02,162358,115155,7.09300003e+01,,0,,7.13799973e+01,"9997",9567,8.52000046e+00
"01","004","999",520,514,9.88499985e+01,129762,9.85599976e+01,128030,9.86699982e+01,1732,1.33000004e+00,1824,1.38999999e+00,77,5.99999987e-02,178894,131663,7.35999985e+01,,0,,7.44499969e+01,"9997",11667,9.10999966e+00
"01","005","999",461,461,1.00000000e+02,119878,9.88600006e+01,118588,9.89199982e+01,1290,1.08000004e+00,1327,1.09000003e+00,59,5.00000007e-02,159303,121264,7.61200027e+01,,0,,7.61200027e+01,"9997",10153,8.56000042e+00
"01","006","999",464,464,1.00000000e+02,124835,9.89700012e+01,123496,9.89300003e+01,1339,1.07000005e+00,1251,9.90000010e-01,54,3.99999991e-02,161704,126140,7.80100021e+01,,0,,7.80100021e+01,"9997",9732,7.88000011e+00
"01","007","999",505,503,9.95999985e+01,130025,9.87699966e+01,128450,9.87900009e+01,1575,1.21000004e+00,1568,1.19000006e+00,51,3.99999991e-02,174786,131644,7.53199997e+01,,0,,7.56200027e+01,"9997",10903,8.48999977e+00
"01","008","999",400,392,9.80000000e+01,101631,9.85299988e+01,100170,9.85599976e+01,1461,1.44000006e+00,1458,1.40999997e+00,58,5.99999987e-02,139144,103147,7.41299973e+01,,0,,7.56399994e+01,"9997",8749,8.72999954e+00
"01","009","999",427,423,9.90599976e+01,112898,9.87099991e+01,111515,9.87799988e+01,1383,1.22000003e+00,1384,1.21000004e+00,89,7.99999982e-02,147725,114371,7.74199982e+01,,0,,7.81600037e+01,"9997",8702,7.80000019e+00
"01","010","999",434,429,9.88499985e+01,114406,9.87300034e+01,113034,9.88000031e+01,1372,1.20000005e+00,1431,1.23000002e+00,46,3.99999991e-02,149556,115883,7.74800034e+01,,0,,7.83899994e+01,"9997",9047,8.00000000e+00
